,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,AttendanceID,StandingsID,gameID,total,home,away,weekly_attendance,year,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner
0,Minnesota Vikings,Chicago Bears,Minnesota Vikings,0,Sun,September 3,1:00PM,30,27,374,1,425,1,Vikings,Minnesota,Bears,Chicago,Vikings20001,Vikings2000,20001Minnesota Vikings,1029262.0,513322.0,515940.0,64104.0,2000,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl
1,Minnesota Vikings,Miami Dolphins,Minnesota Vikings,0,Sun,September 10,12:00PM,13,7,468,4,209,1,Vikings,Minnesota,Dolphins,Miami,Vikings20002,Vikings2000,20002Minnesota Vikings,1029262.0,513322.0,515940.0,64112.0,2000,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl
2,Minnesota Vikings,Tampa Bay Buccaneers,Minnesota Vikings,0,Mon,October 9,9:10PM,30,23,322,2,346,3,Vikings,Minnesota,Buccaneers,Tampa Bay,Vikings20006,Vikings2000,20006Minnesota Vikings,1029262.0,513322.0,515940.0,64162.0,2000,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl
3,Minnesota Vikings,Buffalo Bills,Minnesota Vikings,0,Sun,October 22,1:02PM,31,27,348,1,406,1,Vikings,Minnesota,Bills,Buffalo,Vikings20008,Vikings2000,20008Minnesota Vikings,1029262.0,513322.0,515940.0,64116.0,2000,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl
4,Minnesota Vikings,Arizona Cardinals,Minnesota Vikings,0,Sun,November 12,1:00PM,31,14,460,2,249,2,Vikings,Minnesota,Cardinals,Arizona,Vikings200011,Vikings2000,200011Minnesota Vikings,1029262.0,513322.0,515940.0,64223.0,2000,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl
5,Minnesota Vikings,Carolina Panthers,Minnesota Vikings,0,Sun,November 19,1:00PM,31,17,446,2,330,3,Vikings,Minnesota,Panthers,Carolina,Vikings200012,Vikings2000,200012Minnesota Vikings,1029262.0,513322.0,515940.0,64208.0,2000,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl
6,Minnesota Vikings,Detroit Lions,Minnesota Vikings,0,Thu,November 30,8:35PM,24,17,305,2,352,2,Vikings,Minnesota,Lions,Detroit,Vikings200014,Vikings2000,200014Minnesota Vikings,1029262.0,513322.0,515940.0,64214.0,2000,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl
7,Minnesota Vikings,Green Bay Packers,Green Bay Packers,0,Sun,December 17,1:00PM,33,28,434,0,400,2,Vikings,Minnesota,Packers,Green Bay,Vikings200016,Vikings2000,200016Minnesota Vikings,1029262.0,513322.0,515940.0,64183.0,2000,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl
9,Kansas City Chiefs,Indianapolis Colts,Indianapolis Colts,0,Sun,September 3,1:00PM,27,14,386,2,280,1,Chiefs,Kansas City,Colts,Indianapolis,Chiefs20001,Chiefs2000,20001Kansas City Chiefs,1115272.0,631365.0,483907.0,78357.0,2000,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl
10,Kansas City Chiefs,San Diego Chargers,Kansas City Chiefs,0,Sun,September 17,4:05PM,42,10,349,1,187,2,Chiefs,Kansas City,Chargers,San Diego,Chiefs20003,Chiefs2000,20003Kansas City Chiefs,1115272.0,631365.0,483907.0,77604.0,2000,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl
11,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs,0,Mon,October 2,9:00PM,24,17,378,0,289,2,Chiefs,Kansas City,Seahawks,Seattle,Chiefs20005,Chiefs2000,20005Kansas City Chiefs,1115272.0,631365.0,483907.0,82893.0,2000,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl
12,Kansas City Chiefs,Oakland Raiders,Oakland Raiders,0,Sun,October 15,1:00PM,20,17,391,1,346,1,Chiefs,Kansas City,Raiders,Oakland,Chiefs20007,Chiefs2000,20007Kansas City Chiefs,1115272.0,631365.0,483907.0,79025.0,2000,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl
13,Kansas City Chiefs,St. Louis Rams,Kansas City Chiefs,0,Sun,October 22,1:00PM,54,34,468,0,428,4,Chiefs,Kansas City,Rams,St. Louis,Chiefs20008,Chiefs2000,20008Kansas City Chiefs,1115272.0,631365.0,483907.0,79142.0,2000,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl
14,Kansas City Chiefs,Buffalo Bills,Buffalo Bills,0,Sun,November 19,1:00PM,21,17,299,0,378,2,Chiefs,Kansas City,Bills,Buffalo,Chiefs200012,Chiefs2000,200012Kansas City Chiefs,1115272.0,631365.0,483907.0,78457.0,2000,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl
